dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	age	cell_type	genotype	sex	tissue
GSE234350	GSM7465496	SRR24860300	SRX20624428	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860300/SRR24860300.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465496	SRR24860301	SRX20624428	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860301/SRR24860301.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465497	SRR24860298	SRX20624429	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860298/SRR24860298.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465497	SRR24860299	SRX20624429	Mus musculus	paired	APOE3-KI, Phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860299/SRR24860299.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465498	SRR24860296	SRX20624430	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860296/SRR24860296.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465498	SRR24860297	SRX20624430	Mus musculus	paired	APOE3-KI, Non-phagocytic microglia, biol rep 4	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860297/SRR24860297.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-KI"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-KI	Male	brain
GSE234350	GSM7465499	SRR24860294	SRX20624431	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860294/SRR24860294.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465499	SRR24860295	SRX20624431	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860295/SRR24860295.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465500	SRR24860292	SRX20624432	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860292/SRR24860292.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465500	SRR24860293	SRX20624432	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 1	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860293/SRR24860293.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465501	SRR24860290	SRX20624433	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860290/SRR24860290.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465501	SRR24860291	SRX20624433	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860291/SRR24860291.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465502	SRR24860288	SRX20624434	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860288/SRR24860288.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465502	SRR24860289	SRX20624434	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 2	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860289/SRR24860289.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465503	SRR24860286	SRX20624435	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860286/SRR24860286.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465503	SRR24860287	SRX20624435	Mus musculus	paired	APOE3-cKO, Phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860287/SRR24860287.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465504	SRR24860284	SRX20624436	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860284/SRR24860284.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
GSE234350	GSM7465504	SRR24860285	SRX20624436	Mus musculus	paired	APOE3-cKO, Non-phagocytic microglia, biol rep 3	brain	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR024/24860/SRR24860285/SRR24860285.lite.1			"{""age"": ""8 Months"", ""cell_type"": ""Non-phagocytic microglia"", ""genotype"": ""APOE3-cKO"", ""sex"": ""Male"", ""tissue"": ""brain""}"	8 Months	Non-phagocytic microglia	APOE3-cKO	Male	brain
