dataset	sample	run	experiment	species	layout	title	source	library_strategy	library_source	library_selection	instrument	fastq_url	fastq_md5	fastq_bytes	characteristics	background	batch	cell_type	genotype	sex	treatment
GSE163857	GSM4988819	SRR13306433	SRX9734435	Mus musculus	single	M52_G11_mouse_E4/E4_TR_microglia	mouse_E4/E4_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306433/SRR13306433.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988820	SRR13306434	SRX9734436	Mus musculus	single	M53_H11_mouse_E4/E4_TR_microglia	mouse_E4/E4_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306434/SRR13306434.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988821	SRR13306435	SRX9734437	Mus musculus	single	M6_B10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306435/SRR13306435.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988822	SRR13306436	SRX9734438	Mus musculus	single	M7_E10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR013/13306/SRR13306436/SRR13306436.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988823	SRR13306437	SRX9734439	Mus musculus	single	M88_A12_mouse_E4/E4_TR_microglia	mouse_E4/E4_TR_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306437/SRR13306437.lite.1			"{""background"": ""Targeted Replacement Control"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	Targeted Replacement Control	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988824	SRR13306438	SRX9734440	Mus musculus	single	M89_B12_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR013/13306/SRR13306438/SRR13306438.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
GSE163857	GSM4988825	SRR13306439	SRX9734441	Mus musculus	single	M8_F10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306439/SRR13306439.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988826	SRR13306440	SRX9734442	Mus musculus	single	M94_A10_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306440/SRR13306440.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988827	SRR13306441	SRX9734443	Mus musculus	single	M9_H9_mouse_E3/E3_FAD_microglia	mouse_E3/E3_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR013/13306/SRR13306441/SRR13306441.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E3/E3"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E3/E3	Male	
GSE163857	GSM4988828	SRR13306442	SRX9734444	Mus musculus	single	MA7_F12_mouse_E4/E4_FAD_microglia	mouse_E4/E4_FAD_microglia	RNA-Seq	TRANSCRIPTOMIC	cDNA	NextSeq 500	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13306/SRR13306442/SRR13306442.lite.1			"{""background"": ""FAD transgenic"", ""batch"": ""Batch 1"", ""cell_type"": ""MACS-sorted CD11b+ cells from brain homogenates"", ""genotype"": ""E4/E4"", ""sex"": ""Male""}"	FAD transgenic	Batch 1	MACS-sorted CD11b+ cells from brain homogenates	E4/E4	Male	
